PLAYER,CURRENTTEAM,AGE,DATE OF BIRTH,POS,HANDED,DRAFTED,EXTENSION,SIGNING DATE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,S.BONUS,PlayerId,TYPE,TEAM,TEAMS
Marc Staal,FLA,34.0,1987-01-13,LD,Left,12 - Round 1 - 2005 (NYR),True,2021-07-25,34.0,NMC,1.0,UFA,2022.0,2000000.0,2.5,2000000.0,2000000.0,2000000.0,0.0,8471686.0,Standard,DET,DET
Tuukka Rask,-,34.0,1987-03-10,G,Left,21 - Round 1 - 2005 (TOR),False,2022-01-11,34.0,NMC,1.0,UFA,2022.0,1000000.0,1.2,1000000.0,1000000.0,1000000.0,0.0,8471695.0,Standard,BOS,BOS
T.J. Oshie,WSH,34.0,1986-12-23,RW,Right,24 - Round 1 - 2005 (STL),True,2017-06-23,30.0,M-NTC,8.0,UFA,2025.0,5750000.0,7.7,5750000.0,6000000.0,3000000.0,3000000.0,8471698.0,Standard,WSH,WSH
Andrew Cogliano,COL,34.0,1987-06-14,LW,Left,25 - Round 1 - 2005 (EDM),False,2021-07-28,34.0,,1.0,UFA,2022.0,1000000.0,1.2,1000000.0,1000000.0,1000000.0,0.0,8471699.0,Standard,SJS,SJS
James Neal,-,33.0,1987-09-03,"RW, LW",Left,33 - Round 2 - 2005 (DAL),False,2021-10-09,33.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8471707.0,Standard,STL,STL
Marc-Édouard Vlasic,SJS,34.0,1987-03-30,LD/RD,Left,35 - Round 2 - 2005 (SJS),True,2017-07-01,31.0,NMC,8.0,UFA,2026.0,7000000.0,9.3,7000000.0,7250000.0,7250000.0,0.0,8471709.0,Standard,SJS,SJS
Kris Letang,PIT,34.0,1987-04-24,RD,Right,62 - Round 3 - 2005 (PIT),True,2013-07-01,27.0,"M-NTC, NMC",8.0,UFA,2022.0,7250000.0,11.3,7250000.0,7250000.0,7250000.0,0.0,8471724.0,Standard,PIT,PIT
Kris Russell,-,34.0,1987-05-02,LD/RD,Left,67 - Round 3 - 2005 (CBJ),True,2020-10-21,34.0,,1.0,UFA,2022.0,1250000.0,1.5,1250000.0,1250000.0,1250000.0,0.0,8471729.0,Standard,EDM,EDM
Jonathan Quick,LAK,35.0,1986-01-21,G,Left,72 - Round 3 - 2005 (LAK),True,2012-07-01,27.0,,10.0,UFA,2023.0,5800000.0,9.7,5800000.0,3000000.0,3000000.0,0.0,8471734.0,Standard,LAK,LAK
Keith Yandle,-,34.0,1986-09-09,LD,Left,105 - Round 4 - 2005 (ARI),False,2021-07-28,34.0,NTC,1.0,UFA,2022.0,900000.0,1.1,900000.0,900000.0,900000.0,0.0,8471735.0,Standard,PHI,PHI
Ben Bishop,BUF,34.0,1986-11-21,G,Left,85 - Round 3 - 2005 (STL),True,2017-05-12,30.0,"M-NTC, NMC",6.0,UFA,2023.0,4916667.0,6.7,4916667.0,3500000.0,2500000.0,1000000.0,8471750.0,Standard,DAL,DAL
Alex Stalock,CHI,33.0,1987-07-28,G,Left,112 - Round 4 - 2005 (SJS),True,2019-01-29,31.0,,3.0,UFA,2022.0,785000.0,1.0,785000.0,750000.0,750000.0,0.0,8471774.0,Standard,EDM,"EDM,SJS"
Darren Helm,COL,34.0,1987-01-21,"C, LW, RW",Left,132 - Round 5 - 2005 (DET),False,2021-07-29,34.0,,1.0,UFA,2022.0,1000000.0,1.2,1000000.0,1000000.0,1000000.0,0.0,8471794.0,Standard,COL,COL
Nathan Gerbe,-,33.0,1987-07-24,"LW, RW",Left,142 - Round 5 - 2005 (BUF),True,2020-02-02,32.0,,2.0,UFA,2022.0,750000.0,0.9,750000.0,800000.0,800000.0,0.0,8471804.0,Standard,CBJ,CBJ
Ryan Reaves,NYR,34.0,1987-01-20,RW,Right,156 - Round 5 - 2005 (STL),True,2020-06-15,33.0,,2.0,UFA,2022.0,1750000.0,2.1,1750000.0,2125000.0,2125000.0,0.0,8471817.0,Standard,NYR,NYR
Anton Strålman,BOS,34.0,1986-08-01,RD,Right,216 - Round 7 - 2005 (TOR),False,2019-07-01,32.0,M-NTC,3.0,UFA,2022.0,5500000.0,6.7,5500000.0,5500000.0,4500000.0,1000000.0,8471873.0,Standard,ARI,ARI
Patric Hörnqvist,FLA,34.0,1987-01-01,RW,Right,230 - Round 7 - 2005 (NSH),True,2018-02-26,31.0,M-NTC,5.0,UFA,2023.0,5300000.0,7.1,5300000.0,5300000.0,5300000.0,0.0,8471887.0,Standard,FLA,FLA
Andy Greene,-,38.0,1982-10-30,LD/RD,Left,-,True,2021-07-17,38.0,,1.0,UFA,2022.0,750000.0,0.9,1000000.0,750000.0,750000.0,0.0,8472382.0,35+,NYI,NYI
Bryan Little,ARI,33.0,1987-11-12,"C, RW",Right,12 - Round 1 - 2006 (ATL),True,2017-09-14,30.0,M-NTC,6.0,UFA,2024.0,5291667.0,7.1,5291667.0,6000000.0,6000000.0,0.0,8473412.0,Standard,WPG,"ARI,WPG"
Alex Biega,-,33.0,1988-04-04,RD,Right,147 - Round 5 - 2006 (BUF),False,2021-07-28,33.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8473415.0,Standard,TOR,"NSJ,TOR"
Brad Marchand,BOS,33.0,1988-05-11,LW,Left,71 - Round 3 - 2006 (BOS),True,2016-09-26,29.0,NMC,8.0,UFA,2025.0,6125000.0,8.4,6125000.0,6500000.0,2500000.0,4000000.0,8473419.0,Standard,BOS,BOS
Nick Foligno,BOS,33.0,1987-10-31,"LW, C, RW",Left,28 - Round 1 - 2006 (OTT),False,2021-07-28,33.0,NMC,2.0,UFA,2023.0,3800000.0,4.7,3800000.0,3800000.0,3800000.0,0.0,8473422.0,Standard,BOS,BOS
Erik Johnson,COL,33.0,1988-03-21,RD,Right,1 - Round 1 - 2006 (STL),True,2015-09-22,28.0,"M-NTC, NMC",7.0,UFA,2023.0,6000000.0,8.4,6000000.0,6000000.0,6000000.0,0.0,8473446.0,Standard,COL,COL
Kyle Okposo,BUF,33.0,1988-04-16,RW,Right,7 - Round 1 - 2006 (NYI),False,2016-07-01,28.0,M-NTC,7.0,UFA,2023.0,6000000.0,8.2,6000000.0,4000000.0,2000000.0,2000000.0,8473449.0,Standard,BUF,BUF
Trevor Lewis,CGY,34.0,1987-01-08,RW,Right,17 - Round 1 - 2006 (LAK),False,2021-07-28,34.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8473453.0,Standard,CGY,CGY
Leo Komarov,-,34.0,1987-01-23,"RW, LW, C",Left,180 - Round 6 - 2006 (TOR),False,2018-07-01,31.0,M-NTC,4.0,UFA,2022.0,3000000.0,3.8,3000000.0,2000000.0,2000000.0,0.0,8473463.0,Standard,NYI,NYI
Milan Lucic,CGY,33.0,1988-06-07,LW,Left,50 - Round 2 - 2006 (BOS),False,2016-07-01,28.0,"M-NTC, NMC",7.0,UFA,2023.0,6000000.0,8.2,6000000.0,5000000.0,2500000.0,2500000.0,8473473.0,Standard,CGY,CGY
James Reimer,SJS,33.0,1988-03-15,G,Left,99 - Round 4 - 2006 (TOR),False,2021-07-28,33.0,M-NTC,2.0,UFA,2023.0,2250000.0,2.8,2250000.0,1750000.0,1750000.0,0.0,8473503.0,Standard,SJS,SJS
Cal Clutterbuck,NYI,33.0,1987-11-18,RW,Right,72 - Round 3 - 2006 (MIN),True,2016-12-09,29.0,,5.0,UFA,2022.0,3500000.0,4.8,3500000.0,2500000.0,2500000.0,0.0,8473504.0,Standard,NYI,NYI
Jeff Petry,PIT,33.0,1987-12-09,RD,Right,45 - Round 2 - 2006 (EDM),True,2020-09-25,33.0,"M-NTC, NMC",4.0,UFA,2025.0,6250000.0,7.7,6250000.0,5000000.0,5000000.0,0.0,8473507.0,Standard,MTL,MTL
Claude Giroux,OTT,33.0,1988-01-12,"RW, C",Right,22 - Round 1 - 2006 (PHI),True,2013-07-04,26.0,NMC,8.0,UFA,2022.0,8275000.0,12.9,8275000.0,5000000.0,4000000.0,1000000.0,8473512.0,Standard,PHI,PHI
Jordan Staal,CAR,32.0,1988-09-10,"C, LW",Left,2 - Round 1 - 2006 (PIT),True,2012-07-01,23.0,NMC,10.0,UFA,2023.0,6000000.0,10.0,6000000.0,6000000.0,6000000.0,0.0,8473533.0,Standard,CAR,CAR
Jonathan Bernier,NJD,32.0,1988-08-07,G,Left,11 - Round 1 - 2006 (LAK),False,2021-07-28,32.0,,2.0,UFA,2023.0,4125000.0,5.1,4125000.0,3600000.0,3350000.0,250000.0,8473541.0,Standard,NJD,NJD
Derick Brassard,OTT,33.0,1987-09-22,"LW, C",Left,6 - Round 1 - 2006 (CBJ),False,2021-08-25,33.0,,1.0,UFA,2022.0,825000.0,1.0,825000.0,825000.0,825000.0,0.0,8473544.0,Standard,PHI,"EDM,PHI"
Phil Kessel,VGK,33.0,1987-10-02,RW,Right,5 - Round 1 - 2006 (BOS),True,2013-10-01,25.0,"M-NTC, NMC",8.0,UFA,2022.0,8000000.0,12.4,8000000.0,6000000.0,1000000.0,5000000.0,8473548.0,Standard,ARI,ARI
Nicklas Bäckström,WSH,33.0,1987-11-23,C,Left,4 - Round 1 - 2006 (WSH),True,2020-01-14,32.0,NMC,5.0,UFA,2025.0,9200000.0,11.3,9200000.0,10000000.0,5000000.0,5000000.0,8473563.0,Standard,WSH,WSH
Semyon Varlamov,NYI,33.0,1988-04-27,G,Left,23 - Round 1 - 2006 (WSH),False,2019-07-01,31.0,M-NTC,4.0,UFA,2023.0,5000000.0,6.1,5000000.0,6000000.0,6000000.0,0.0,8473575.0,Standard,NYI,NYI
Jonathan Toews,CHI,33.0,1988-04-29,C,Left,3 - Round 1 - 2006 (CHI),True,2014-07-09,26.0,NMC,8.0,UFA,2023.0,10500000.0,15.2,10500000.0,6900000.0,2900000.0,4000000.0,8473604.0,Standard,CHI,CHI
Mathieu Perreault,-,33.0,1988-01-05,"LW, RW, C",Left,177 - Round 6 - 2006 (WSH),False,2021-07-29,33.0,,1.0,UFA,2022.0,950000.0,1.2,950000.0,950000.0,950000.0,0.0,8473618.0,Standard,MTL,MTL
Alex Killorn,TBL,31.0,1989-09-14,LW,Left,77 - Round 3 - 2007 (TBL),False,2016-07-17,26.0,M-NTC,7.0,UFA,2023.0,4450000.0,6.1,4450000.0,4450000.0,4450000.0,0.0,8473986.0,Standard,TBL,TBL
Jamie Benn,DAL,31.0,1989-07-18,"LW, C",Left,129 - Round 5 - 2007 (DAL),True,2016-07-15,27.0,NMC,8.0,UFA,2025.0,9500000.0,13.0,9500000.0,8500000.0,1000000.0,7500000.0,8473994.0,Standard,DAL,DAL
Nick Bonino,SJS,33.0,1988-04-20,C,Left,173 - Round 6 - 2007 (SJS),False,2021-07-28,33.0,M-NTC,2.0,UFA,2023.0,2050000.0,2.5,2050000.0,2050000.0,2050000.0,0.0,8474009.0,Standard,SJS,SJS
Ian Cole,TBL,32.0,1989-02-21,LD/RD,Left,18 - Round 1 - 2007 (STL),False,2021-07-28,32.0,,1.0,UFA,2022.0,2900000.0,3.6,2900000.0,2900000.0,2900000.0,0.0,8474013.0,Standard,CAR,CAR
Tommy Cross,-,31.0,1989-09-12,LD,Left,35 - Round 2 - 2007 (BOS),False,2021-07-30,31.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8474019.0,Standard,STL,STL
Justin Braun,PHI,34.0,1987-02-10,RD,Right,201 - Round 7 - 2007 (SJS),True,2020-10-05,33.0,,2.0,UFA,2022.0,1800000.0,2.2,1800000.0,1800000.0,1800000.0,0.0,8474027.0,Standard,PHI,"NYR,PHI"
Kevin Shattenkirk,ANA,32.0,1989-01-29,RD,Right,14 - Round 1 - 2007 (COL),False,2020-10-09,31.0,M-NTC,3.0,UFA,2023.0,3900000.0,4.8,3900000.0,4250000.0,4250000.0,0.0,8474031.0,Standard,ANA,ANA
Patrick Maroon,TBL,33.0,1988-04-23,"LW, RW",Left,161 - Round 6 - 2007 (PHI),False,2020-10-29,32.0,M-NTC,2.0,UFA,2022.0,900000.0,1.1,900000.0,1000000.0,1000000.0,0.0,8474034.0,Standard,TBL,TBL
James van Riemsdyk,PHI,32.0,1989-05-04,"LW, RW",Left,2 - Round 1 - 2007 (PHI),False,2018-07-01,29.0,,5.0,UFA,2023.0,7000000.0,8.8,7000000.0,7000000.0,6000000.0,1000000.0,8474037.0,Standard,PHI,PHI
Paul Byron,MTL,32.0,1989-04-27,"LW, RW",Left,179 - Round 6 - 2007 (BUF),True,2018-09-23,30.0,,4.0,UFA,2023.0,3400000.0,4.3,3400000.0,4000000.0,4000000.0,0.0,8474038.0,Standard,MTL,MTL
Sam Gagner,WPG,31.0,1989-08-10,"C, RW",Right,6 - Round 1 - 2007 (EDM),False,2021-07-28,31.0,,1.0,UFA,2022.0,850000.0,1.0,850000.0,850000.0,850000.0,0.0,8474040.0,Standard,DET,DET
Logan Couture,SJS,32.0,1989-03-28,"C, LW",Left,9 - Round 1 - 2007 (SJS),True,2018-07-01,30.0,M-NTC,8.0,UFA,2027.0,8000000.0,10.1,8000000.0,9000000.0,6000000.0,3000000.0,8474053.0,Standard,SJS,SJS
P.K. Subban,-,32.0,1989-05-13,RD,Right,43 - Round 2 - 2007 (MTL),False,2014-08-02,25.0,,8.0,UFA,2022.0,9000000.0,13.0,9000000.0,8000000.0,2000000.0,6000000.0,8474056.0,Standard,NJD,NJD
Riley Nash,-,32.0,1989-05-09,"C, RW",Right,21 - Round 1 - 2007 (EDM),False,2021-07-31,32.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8474062.0,Standard,ARI,"ARI,WPG,TBL"
Thomas Hickey,-,32.0,1989-02-08,LD,Left,4 - Round 1 - 2007 (LAK),False,2018-07-01,29.0,,4.0,UFA,2022.0,2500000.0,3.1,2500000.0,2500000.0,2500000.0,0.0,8474066.0,Standard,NYI,NYI
Kyle Turris,-,31.0,1989-08-14,"C, RW",Right,3 - Round 1 - 2007 (ARI),False,2020-10-09,30.0,,2.0,UFA,2022.0,1650000.0,2.0,1650000.0,2200000.0,2200000.0,0.0,8474068.0,Standard,EDM,EDM
Brad Malone,EDM,32.0,1989-05-20,"C, LW",Left,105 - Round 4 - 2007 (COL),False,2022-02-10,32.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8474089.0,Standard,EDM,EDM
Brendan Smith,NJD,32.0,1989-02-08,"LD/RD, LW",Left,27 - Round 1 - 2007 (DET),False,2021-07-29,32.0,,1.0,UFA,2022.0,800000.0,1.0,800000.0,800000.0,800000.0,0.0,8474090.0,Standard,CAR,CAR
Brandon Sutter,-,32.0,1989-02-14,"RW, C",Right,11 - Round 1 - 2007 (CAR),True,2021-07-28,32.0,,1.0,UFA,2022.0,1125000.0,1.4,1125000.0,1125000.0,1125000.0,0.0,8474091.0,Standard,VAN,VAN
Colton Sceviour,-,32.0,1989-04-20,"RW, C",Right,112 - Round 4 - 2007 (DAL),False,2021-10-13,32.0,,1.0,UFA,2022.0,750000.0,0.9,750000.0,750000.0,750000.0,0.0,8474098.0,Standard,EDM,EDM
David Perron,DET,33.0,1988-05-28,"RW, LW",Right,26 - Round 1 - 2007 (STL),False,2018-07-01,30.0,M-NTC,4.0,UFA,2022.0,4000000.0,5.0,4000000.0,3412500.0,3412500.0,0.0,8474102.0,Standard,STL,STL
Patrick Kane,CHI,32.0,1988-11-19,RW,Left,1 - Round 1 - 2007 (CHI),True,2014-07-09,26.0,NMC,8.0,UFA,2023.0,10500000.0,15.2,10500000.0,6900000.0,2900000.0,4000000.0,8474141.0,Standard,CHI,CHI
Robert Bortuzzo,STL,32.0,1989-03-18,RD,Right,78 - Round 3 - 2007 (PIT),True,2018-12-15,30.0,,3.0,UFA,2022.0,1375000.0,1.7,1375000.0,1375000.0,1375000.0,0.0,8474145.0,Standard,STL,STL
Evgeni Dadonov,MTL,32.0,1989-03-12,"RW, LW",Left,71 - Round 3 - 2007 (FLA),False,2020-10-15,31.0,M-NTC,3.0,UFA,2023.0,5000000.0,6.1,5000000.0,5000000.0,5000000.0,0.0,8474149.0,Standard,VGK,"ANA,VGK"
